token_id,image_filename,series,rarity,base_template,material_pattern,damage,prop_1,prop_2,stamp,handwritten,overlay,legendary_accent,special_feature,feature_variant,source_seed,combination_fingerprint
1,NRA_0001.png,Token Pawn,Common,B02_VAR_06,,DMG_FOLD_03,,,STAMP_UNCLAIMED,NOTE_CLAIM_BY_5,OVERLAY_FILM_GRAIN_02,,,,19770821,a3aaa0be5ba82f570459f0c5305945c55e48d2b7eb37ecfc0490498b7326faef
2,NRA_0002.png,Token Pawn,Common,B02_VAR_06,,DMG_FOLD_01,,,STAMP_PAWN_HOLD,NOTE_CASE_14,OVERLAY_ARCHIVE_YELLOWING_01,,,,19770821,41c55e2f7a639d228061e929e621b7b292964561bff35dfdf02d63deda26030d
3,NRA_0003.png,Token Pawn,Common,B05_VAR_05,,DMG_FOLD_02,,,STAMP_CLAIM_CLOSED,NOTE_30_DAYS,OVERLAY_DUST_01,,,,19770821,10e63dd0bd9967a01f03131fde7f3c2703687fb566395e6b7ea4dbea70c05cec
4,NRA_0004.png,Token Pawn,Common,B06_VAR_05,,DMG_FOLD_03,,,STAMP_CLAIM_CLOSED,NOTE_CLAIM_BY_5,OVERLAY_SCAN_NOISE_02,,,,19770821,ed4574f672feab71b81eb8d803f013a613e4cafff94cd3fb1dd1936559b0d808
5,NRA_0005.png,Token Pawn,Common,B03_VAR_04,,DMG_FOLD_03,,,STAMP_PAWN_HOLD,NOTE_CLAIM_BY_5,OVERLAY_ARCHIVE_YELLOWING_01,,,,19770821,71b3ba211157280af4ef1a49935fad70a590608afdc158e4cd0c8ab42d2c46bf
6,NRA_0006.png,Token Pawn,Common,B03_VAR_01,,DMG_FOLD_02,,,STAMP_PAWN_HOLD,NOTE_CLAIM_BY_5,OVERLAY_SCAN_NOISE_02,,,,19770821,682956523ec319db8aae76fc92f57b8ac78412d7adc025006cc7f16f76bbef56
7,NRA_0007.png,Token Pawn,Common,B03_VAR_04,,DMG_EDGE_WEAR_01,,,STAMP_CLAIM_CLOSED,NOTE_30_DAYS,OVERLAY_SCAN_NOISE_01,,,,19770821,ac877d7a862f737d0869bd6d868d66acf0c1e20ff5ff72c6fbb453707bfedde8
8,NRA_0008.png,Token Pawn,Common,B02_VAR_08,,DMG_FOLD_02,,,STAMP_PAWN_HOLD,NOTE_30_DAYS,OVERLAY_DUST_02,,,,19770821,ba58888e9c0f00627a27c4211043d0d504924aa7905e76df1fb4359838361125
9,NRA_0009.png,Token Pawn,Common,B05_VAR_01,,DMG_FOLD_01,,,STAMP_PAWN_HOLD,NOTE_CASE_14,OVERLAY_DUST_01,,,,19770821,370e00281d75a590f22b274f4faa1e33bca214a07b5feb07cc2b33eb619e5265
10,NRA_0010.png,Token Pawn,Common,B06_VAR_03,,DMG_FOLD_02,,,STAMP_CLAIM_CLOSED,NOTE_UNCLAIMED,OVERLAY_SCAN_NOISE_01,,,,19770821,52839b0672c24f2b54fb208d4b7c6a1061c2141bd1a40461e4ba71eb3f667ee4
